colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL,uniqueVar
47,"","",ab_swell,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is the abdomen swollen?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::ab_swell
8,"","",age,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Age of study participant,,"","","","",score_sm_cohort_ken_tan_march3_2020::age
23,"","",arm,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Mid-arm circumference,,"","","","",score_sm_cohort_ken_tan_march3_2020::arm
19,"","",asc_binary,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Ascaris infection: Presence or Absence,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::asc_binary
61,"","",ascites,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is ascites present?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::ascites
50,"","",caudal_edge,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the caudal edge like?,"0=Sharp, 1=Rounded","","","","",score_sm_cohort_ken_tan_march3_2020::caudal_edge
1,"","",country_code,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Country code,KEN=Kenya; TAN=Tanzania,"","","","",score_sm_cohort_ken_tan_march3_2020::country_code
29,"","",emotion_pql_c,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Emotional PedsQL subscale based on child's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::emotion_pql_c
34,"","",emotion_pql_p,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Emotional PedsQL subscale based on parent's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::emotion_pql_p
64,"","",gb_shape,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the shape of the gallbaldder,"0=Normal, 1=Irregular","","","","",score_sm_cohort_ken_tan_march3_2020::gb_shape
63,"","",gb_thick,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Gallbladder thickness,,"","","","",score_sm_cohort_ken_tan_march3_2020::gb_thick
24,"","",hgb,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Hemoglobin measured using capillary blood,,"","","","",score_sm_cohort_ken_tan_march3_2020::hgb
21,"","",hght,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Height measured using standardized technique (stadiometer),,"","","","",score_sm_cohort_ken_tan_march3_2020::hght
18,"","",hook_binary,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Hookworm infection: Presence or Absence,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::hook_binary
65,"","",l_port_br_ext,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Left portal branch external walls,,"","","","",score_sm_cohort_ken_tan_march3_2020::l_port_br_ext
67,"","",l_port_br_int,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Left portal branch internal walls,,"","","","",score_sm_cohort_ken_tan_march3_2020::l_port_br_int
39,"","",liver_consis,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If liver is palpable, what is its consistency?","1=Soft, 2=Firm, 3=Hard, 8=Not palpable","","","","",score_sm_cohort_ken_tan_march3_2020::liver_consis
38,"","",liver_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is liver palpable?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::liver_palp
62,"","",liver_pattern,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Liver pattern,"A, B, C, D, E, F","","","","",score_sm_cohort_ken_tan_march3_2020::liver_pattern
48,"","",liver_shape,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the liver shape?,"0=Convex-concave, 1=Biconvex","","","","",score_sm_cohort_ken_tan_march3_2020::liver_shape
49,"","",liver_surf,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the liver surface like?,"0=Normal, 1=Irregular","","","","",score_sm_cohort_ken_tan_march3_2020::liver_surf
46,"","",liver_tender,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is liver tender?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::liver_tender
51,"","",liver_texture,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the liver texture like?,"0=Normal, 1=Irregular","","","","",score_sm_cohort_ken_tan_march3_2020::liver_texture
25,"","",malaria,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Malaria blood smear test,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::malaria
57,"","",mcl,score_sm_cohort_ken_tan_march3_2020,"","","","","","",MCL length,,"","","","",score_sm_cohort_ken_tan_march3_2020::mcl
45,"","",mcl_l_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If spleen is palpable, what is left MCL?",,"","","","",score_sm_cohort_ken_tan_march3_2020::mcl_l_palp
41,"","",mcl_r_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If liver is palpable, what is the right mid-clavicular line (MCL) length?",,"","","","",score_sm_cohort_ken_tan_march3_2020::mcl_r_palp
16,"","",mean_epg,score_sm_cohort_ken_tan_march3_2020,"","","","","","","Mean Schistosoma mansoni infection intensity (eggs per gram of stool): arithmetic mean of sm1a_epg, sm1b_epg, sm2a_epg, sm2b_epg, sm3a_epg, sm3b_epg",,"","","","",score_sm_cohort_ken_tan_march3_2020::mean_epg
6,"","",person_id,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Person ID,,"","","","",score_sm_cohort_ken_tan_march3_2020::person_id
28,"","",phys_pql_c,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Physical subscale for PedsQL (pediatric quality of life questionnaire) based on child's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::phys_pql_c
33,"","",phys_pql_p,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Physical subscale for PedsQL based on parent's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::phys_pql_p
70,"","",port_sys_collat,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Are collaterals detected?,"0=Not detected, 1=Detected","","","","",score_sm_cohort_ken_tan_march3_2020::port_sys_collat
69,"","",port_v_diam,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Portal vein diameter,,"","","","",score_sm_cohort_ken_tan_march3_2020::port_v_diam
56,"","",psl,score_sm_cohort_ken_tan_march3_2020,"","","","","","",PSL length,,"","","","",score_sm_cohort_ken_tan_march3_2020::psl
44,"","",psl_l_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If spleen is palpable, what is left PSL?",,"","","","",score_sm_cohort_ken_tan_march3_2020::psl_l_palp
40,"","",psl_r_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If liver is palpable, what is right parasternal line (PSL) length?",,"","","","",score_sm_cohort_ken_tan_march3_2020::psl_r_palp
66,"","",r_port_br_ext,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Right portal branch external walls,,"","","","",score_sm_cohort_ken_tan_march3_2020::r_port_br_ext
68,"","",r_port_br_int,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Right portal branch internal walls,,"","","","",score_sm_cohort_ken_tan_march3_2020::r_port_br_int
31,"","",school_pql_c,score_sm_cohort_ken_tan_march3_2020,"","","","","","",School PedsQL subcale based on child's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::school_pql_c
36,"","",school_pql_p,score_sm_cohort_ken_tan_march3_2020,"","","","","","",School PedsQL subcale based on parent's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::school_pql_p
7,"","",sex,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Sex of study participant,"F=Female, M=Male","","","","",score_sm_cohort_ken_tan_march3_2020::sex
26,"","",shuttle,score_sm_cohort_ken_tan_march3_2020,"","","","","","",20 m shuttle run per standard protocol to assess aerobic fitness,Integer between 1 and 20,"","","","",score_sm_cohort_ken_tan_march3_2020::shuttle
17,"","",sm_binary,score_sm_cohort_ken_tan_march3_2020,"","","","","","",S. mansoni infection: Presence or Absence,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::sm_binary
10,"","",sm1a,score_sm_cohort_ken_tan_march3_2020,"","","","","","","Number of eggs counted. In the variable name, sm=schistosomiasis, 1 refers to the first specimen, and the letter refers to the first ('a') and second ('b') slides, respectively.",,"","","","",score_sm_cohort_ken_tan_march3_2020::sm1a
11,"","",sm1b,score_sm_cohort_ken_tan_march3_2020,"","","","","","",,,"","","","",score_sm_cohort_ken_tan_march3_2020::sm1b
12,"","",sm2a,score_sm_cohort_ken_tan_march3_2020,"","","","","","",,,"","","","",score_sm_cohort_ken_tan_march3_2020::sm2a
13,"","",sm2b,score_sm_cohort_ken_tan_march3_2020,"","","","","","",,,"","","","",score_sm_cohort_ken_tan_march3_2020::sm2b
14,"","",sm3a,score_sm_cohort_ken_tan_march3_2020,"","","","","","",,,"","","","",score_sm_cohort_ken_tan_march3_2020::sm3a
15,"","",sm3b,score_sm_cohort_ken_tan_march3_2020,"","","","","","",,,"","","","",score_sm_cohort_ken_tan_march3_2020::sm3b
30,"","",social_pql_c,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Social PedsQL subcale based on child's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::social_pql_c
35,"","",social_pql_p,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Social PedsQL subcale based on parent's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::social_pql_p
54,"","",spl_echo,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the echogenicity of the spleen?,"0=Normal, 1=Hypoechoic, 2=Hyperechoic","","","","",score_sm_cohort_ken_tan_march3_2020::spl_echo
52,"","",spl_length,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Spleen length by ultrasound,,"","","","",score_sm_cohort_ken_tan_march3_2020::spl_length
58,"","",spl_shape,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the shape of the spleen?,"0=Convex-concave, 1=Biconvex","","","","",score_sm_cohort_ken_tan_march3_2020::spl_shape
59,"","",spl_surface,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the surface of the spleen like?,"0=Normal, 1=Irregular, .=Missing","","","","",score_sm_cohort_ken_tan_march3_2020::spl_surface
60,"","",spl_tenderness,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is the spleen tender?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::spl_tenderness
55,"","",spl_texture,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the texture of the spleen like?,"0=Homogeneous, 1=Coarse, 2=Hyperechoic","","","","",score_sm_cohort_ken_tan_march3_2020::spl_texture
53,"","",spl_vein_diam,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Splenic vein diameter,,"","","","",score_sm_cohort_ken_tan_march3_2020::spl_vein_diam
43,"","",spleen_consis,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If spleen is palpable, what is its consistency?","1=Soft, 2=Firm, 3=Hard, 8=Not palpable","","","","",score_sm_cohort_ken_tan_march3_2020::spleen_consis
42,"","",spleen_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is spleen palpable?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::spleen_palp
5,"","",study_arm,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Study arm,"1, 6","","","","",score_sm_cohort_ken_tan_march3_2020::study_arm
2,"","",study_year,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Study year,"1, 3, 5","","","","",score_sm_cohort_ken_tan_march3_2020::study_year
32,"","",total_pql_c,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Total PedsQL based on child's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::total_pql_c
37,"","",total_pql_p,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Total PedsQL based on parent's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::total_pql_p
20,"","",trich_binary,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Trichuris infection: Presence or Absence,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::trich_binary
9,"","",trunc,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Level at which egg counts were truncated (max number of eggs counted),,"","","","",score_sm_cohort_ken_tan_march3_2020::trunc
3,"","",village_id,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Village ID,Country code + 3-digit number,"","","","",score_sm_cohort_ken_tan_march3_2020::village_id
4,"","",village_name,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Village name,,"","","","",score_sm_cohort_ken_tan_march3_2020::village_name
27,"","",vo2,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Estimated maximal oxygen consumption,,"","","","",score_sm_cohort_ken_tan_march3_2020::vo2
22,"","",wght,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Weight measured using standardized technique (calibrated scale),,"","","","",score_sm_cohort_ken_tan_march3_2020::wght
